"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp","TotalPurchases","PurchaseFrequency","PreferredProductCategory","PreferredChannel","AvgSpendPerPurchase","HasChildren","IncomeSegment","CustomerTenure","CampaignAcceptanceRate","CustomerSegment","PropensityScore","EngagementIndex"
"Graduation","Married",51267,1,1,37,183,2,64,7,2,12,4,3,3,5,4,0,0,0,0,0,0,0,42,2620,0,270,15,0.17175572519084,"WineExp","StorePurc",18,1,"Medium",7.17808219178082,0,"3",0.042805449517724,25.4820482048205
"Graduation","Single",46524,0,1,70,31,19,35,26,14,52,2,1,1,5,3,0,0,0,0,0,0,0,59,2827,0,177,9,0.0955076052352317,"GoldExp","StorePurc",19.6666666666667,1,"Medium",7.74520547945205,0,"1",0.0473933324611939,14.3514751475148
"Master","Single",45183,0,0,33,219,3,60,12,9,12,1,4,1,7,7,0,1,0,0,0,0,0,58,2902,1,315,13,0.134390075809786,"WineExp","StorePurc",24.2307692307692,0,"Medium",7.95068493150685,0.2,"3",0.402506778597614,32.0708070807081
"PhD","Married",70421,0,1,98,479,28,136,75,14,35,3,10,3,7,6,0,0,0,0,0,0,0,66,2378,0,767,23,0.290159798149706,"WineExp","WebPurc",33.3478260869565,1,"High",6.51506849315069,0,"2",0.00845799937646246,22.7318131813181
"2n Cycle","Divorced",60161,0,1,17,584,44,212,46,8,177,3,11,4,8,8,0,0,0,0,0,0,0,55,2991,0,1071,26,0.260782347041123,"WineExp","WebPurc",41.1923076923077,1,"Medium",8.19452054794521,0,"2",0.3360939579092,44.8670067006701
"Graduation","Together",73926,0,0,54,627,91,597,159,91,15,1,6,5,12,3,0,0,0,0,0,0,0,47,2861,0,1580,24,0.251660258650821,"WineExp","StorePurc",65.8333333333333,0,"High",7.83835616438356,0,"2",0.0718875242055624,35.5148514851485
"Graduation","Married",19329,1,0,39,24,1,16,12,2,5,3,4,0,3,8,0,0,0,0,0,0,0,52,2574,0,60,10,0.116550116550117,"WineExp","WebPurc",6,1,"Low",7.05205479452055,0,"3",0.0759468636224355,25.1419141914191
"Master","Married",61872,0,1,81,330,5,159,36,27,16,4,4,4,9,4,0,0,0,0,0,0,0,50,2575,0,573,21,0.244660194174757,"WineExp","StorePurc",27.2857142857143,1,"Medium",7.05479452054795,0,"2",0.0141806401144768,21.7204320432043
"Graduation","Widow",46984,1,1,71,19,1,10,2,1,8,1,1,0,3,5,0,0,0,0,0,0,0,64,2837,0,41,5,0.0528727529080014,"WineExp","StorePurc",8.2,1,"Medium",7.77260273972603,0,"1",0.0422611060313042,13.2540454045405
"Graduation","Married",34838,1,1,62,28,23,29,29,14,47,3,2,1,4,6,0,0,0,0,0,0,0,69,2903,0,170,10,0.103341370995522,"GoldExp","StorePurc",17,1,"Low",7.95342465753425,0,"1",0.0280181746904887,19.3667366736674
"PhD","Single",82716,0,0,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,76,2613,0,1167,28,0.321469575200919,"WineExp","StorePurc",41.6785714285714,0,"High",7.15890410958904,0,"2",0.273092711006957,42.3546754675468
"Master","Married",49681,0,2,66,411,0,26,0,0,21,6,7,1,7,7,0,0,0,0,0,0,0,44,2614,0,458,21,0.241009946442234,"WineExp","WebPurc",21.8095238095238,1,"Medium",7.16164383561644,0,"2",0.0275310510573932,26.8398439843984
"Master","Married",56850,0,1,83,34,1,19,2,7,0,1,1,1,3,2,0,0,0,0,0,0,0,49,2475,0,63,6,0.0727272727272727,"WineExp","StorePurc",10.5,1,"Medium",6.78082191780822,0,"1",0.00696770303138218,8.45860586058606
"Graduation","Married",55267,0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,0,63,2628,0,405,17,0.194063926940639,"WineExp","StorePurc",23.8235294117647,1,"Medium",7.2,0,"3",0.0546717636698751,28.2786278627863
"Graduation","Married",59666,1,1,87,623,53,178,23,17,133,7,3,2,8,8,0,1,0,0,0,0,0,48,2841,1,1027,20,0.211193241816262,"WineExp","StorePurc",51.35,1,"Medium",7.78356164383562,0.2,"2",0.080025800553264,30.9831383138314
"Graduation","Single",72504,0,1,43,604,26,470,123,161,94,2,5,9,6,2,0,0,0,0,0,0,0,48,2826,0,1478,22,0.233545647558386,"WineExp","CatalogPurc",67.1818181818182,1,"High",7.74246575342466,0,"2",0.232338970098196,35.0200620062006
"Graduation","Married",26872,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,39,2633,0,72,5,0.0569692366122294,"GoldExp","StorePurc",14.4,0,"Low",7.21369863013699,0,"3",0.161822389756581,28.8430243024302
"Graduation","Single",73170,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,45,2406,0,726,16,0.199501246882793,"MeatExp","StorePurc",45.375,0,"High",6.59178082191781,0,"3",0.25241081082937,34.821202120212
"Master","Married",52750,0,1,72,393,0,239,90,69,69,6,5,7,9,4,0,0,0,0,0,0,0,65,2887,0,860,27,0.28056806373398,"WineExp","StorePurc",31.8518518518519,1,"Medium",7.90958904109589,0,"2",0.0354341258556626,28.5391539153915
"PhD","Together",91820,0,0,72,410,73,747,76,161,30,0,5,5,12,1,0,0,0,0,0,0,0,34,2595,0,1497,22,0.254335260115607,"MeatExp","StorePurc",68.0454545454545,0,"High",7.10958904109589,0,"2",0.0235520901497657,28.3119711971197
"PhD","Together",65968,0,1,12,376,9,83,19,4,4,2,5,4,7,3,0,0,0,0,0,0,0,50,2425,0,495,18,0.222680412371134,"WineExp","StorePurc",27.5,1,"High",6.64383561643836,0,"3",0.0672239471184081,32.6783678367837
"Graduation","Married",30772,1,1,89,7,2,4,2,1,4,1,1,0,2,6,0,0,0,0,0,0,0,44,2486,0,20,4,0.0482703137570394,"WineExp","StorePurc",5,1,"Low",6.81095890410959,0,"1",0.0127014391645622,9.996799679968
"Graduation","Single",22507,0,0,67,68,0,226,51,157,68,3,10,2,4,9,0,0,0,0,0,0,0,66,2959,0,570,19,0.192632646164245,"MeatExp","WebPurc",30,0,"Low",8.10684931506849,0,"2",0.175348021766244,28.6158615861586
"Graduation","Married",65685,0,1,54,642,14,49,0,7,57,1,9,2,9,5,0,0,0,0,0,0,0,48,2469,0,769,21,0.255164034021871,"WineExp","WebPurc",36.6190476190476,1,"High",6.76438356164384,0,"2",0.0340960323110429,29.7274527452745
"2n Cycle","Married",25804,1,0,34,8,7,9,13,6,12,2,2,0,3,8,0,0,0,0,0,0,0,42,2678,0,55,7,0.0784167289021658,"FishExp","StorePurc",7.85714285714286,1,"Low",7.33698630136986,0,"3",0.0709140179262364,24.7487748774878
"Graduation","Married",22063,1,0,43,7,10,13,3,11,11,2,2,0,3,7,0,0,0,0,0,0,0,48,2702,0,55,7,0.077720207253886,"MeatExp","StorePurc",7.85714285714286,1,"Low",7.4027397260274,0,"3",0.061623470023891,21.9305930593059
"2n Cycle","Divorced",78353,0,1,51,752,122,476,39,153,34,1,10,2,11,8,0,0,0,0,0,0,0,61,2816,0,1576,24,0.255681818181818,"WineExp","StorePurc",65.6666666666667,1,"High",7.71506849315069,0,"2",0.169733695086639,41.0892289228923
"Graduation","Married",93404,1,2,97,1279,15,287,20,0,15,3,3,4,7,5,0,1,1,0,0,0,0,66,2795,2,1616,17,0.182468694096601,"WineExp","StorePurc",95.0588235294118,1,"High",7.65753424657534,0.4,"2",0.140597232735028,32.5979797979798
"Graduation","Divorced",37859,1,2,75,22,1,8,2,1,2,2,1,0,3,8,0,0,0,0,0,0,0,58,2910,0,36,6,0.0618556701030928,"WineExp","StorePurc",6,1,"Low",7.97260273972603,0,"1",0.0404218229243817,15.8609060906091
"PhD","Widow",80995,0,1,83,860,28,409,73,56,56,1,8,9,4,4,0,0,0,0,0,0,0,62,2791,0,1482,22,0.236474381941956,"WineExp","CatalogPurc",67.3636363636364,1,"High",7.64657534246575,0,"2",0.0783055815360795,28.9709370937094
"Graduation","Together",16529,1,0,23,3,0,5,13,0,1,1,1,0,3,6,0,0,0,0,0,0,0,36,2497,0,22,5,0.0600720865038046,"FishExp","StorePurc",4.4,1,"Low",6.84109589041096,0,"3",0.112358235878383,23.8005200520052
"PhD","Divorced",55412,1,1,65,10,5,28,11,1,8,1,2,0,3,5,0,0,0,0,0,0,0,44,2596,0,63,6,0.0693374422187982,"MeatExp","StorePurc",10.5,1,"Medium",7.11232876712329,0,"1",0.0332115132694977,15.0949694969497
"Graduation","Single",48789,0,0,94,351,16,156,7,5,145,1,6,4,7,6,0,0,0,0,0,0,0,28,3034,0,680,18,0.17798286090969,"WineExp","StorePurc",37.7777777777778,0,"Medium",8.31232876712329,0,"1",0.0524846217673275,20.5780578057806
"PhD","Together",56575,0,2,42,421,5,90,0,16,10,3,7,3,7,5,0,0,0,0,0,0,0,53,2797,0,542,20,0.214515552377547,"WineExp","WebPurc",27.1,1,"Medium",7.66301369863014,0,"2",0.0433124013588633,29.8991299129913
"2n Cycle","Together",25130,1,0,10,2,5,7,0,18,18,2,2,0,3,7,0,0,0,0,0,0,0,40,2647,0,50,7,0.0793350963354741,"SweetExp","StorePurc",7.14285714285714,1,"Low",7.25205479452055,0,"3",0.126318306486467,28.5576557655766
"Graduation","Married",35441,1,1,94,25,1,9,2,1,1,2,1,0,3,8,0,0,0,0,0,0,0,53,2877,0,39,6,0.0625651720542231,"WineExp","StorePurc",6.5,1,"Low",7.88219178082192,0,"1",0.00970795802098349,12.0462846284628
"Graduation","Married",71391,0,1,50,336,123,274,46,123,141,5,6,5,12,3,0,0,0,0,0,0,0,64,2834,0,1043,28,0.296400846859562,"WineExp","StorePurc",37.25,1,"High",7.76438356164384,0,"2",0.0460288356587021,33.8876487648765
"Master","Single",49494,1,0,46,191,9,97,0,6,82,2,6,1,5,7,0,0,0,0,0,0,0,48,2807,0,385,14,0.149625935162095,"WineExp","WebPurc",27.5,1,"Medium",7.69041095890411,0,"3",0.112526388840978,27.1202120212021
"Graduation","Divorced",81702,0,0,98,563,50,774,28,31,187,1,7,7,12,3,0,0,0,0,0,0,0,40,3021,0,1633,27,0.268123138033764,"MeatExp","StorePurc",60.4814814814815,0,"High",8.27671232876712,0,"2",0.0552693093118138,28.409400940094
"2n Cycle","Single",45889,0,1,42,31,0,6,0,1,8,1,1,0,3,6,0,0,0,0,0,0,0,40,2739,0,46,5,0.0547645125958379,"WineExp","StorePurc",9.2,1,"Medium",7.5041095890411,0,"3",0.0868927354577702,20.1522352235224
"Graduation","Single",56628,0,1,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,0,43,2477,1,761,20,0.242228502220428,"WineExp","WebPurc",38.05,1,"Medium",6.78630136986301,0.2,"2",0.507070422069251,37.3913591359136
"Graduation","Together",34026,1,1,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,70,2705,0,76,9,0.099815157116451,"WineExp","DealsPurc",8.44444444444444,1,"Low",7.41095890410959,0,"3",0.0923768327937546,27.4706670667067
"Graduation","Married",40049,0,1,61,91,65,52,10,44,28,3,3,2,6,5,0,0,0,0,0,0,0,46,2954,0,290,14,0.14218009478673,"WineExp","StorePurc",20.7142857142857,1,"Low",8.09315068493151,0,"1",0.0318210579335295,21.3374337433743
"Graduation","Married",19419,1,0,76,2,14,28,16,3,7,4,4,0,3,9,0,0,0,0,0,0,0,39,2973,0,70,11,0.110998990918264,"MeatExp","DealsPurc",6.36363636363636,1,"Low",8.14520547945206,0,"1",0.0300928447396178,19.2009200920092
"2n Cycle","Married",82504,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,60,2714,0,1066,17,0.187914517317612,"MeatExp","StorePurc",62.7058823529412,0,"High",7.43561643835616,0,"2",0.107683141782302,36.766796679668
"2n Cycle","Single",61618,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0,29,3015,0,1345,19,0.189054726368159,"WineExp","StorePurc",70.7894736842105,0,"Medium",8.26027397260274,0,"2",0.366758815053928,36.8352835283528
"Master","Single",55284,0,1,60,547,7,140,0,7,63,3,7,5,8,5,0,0,0,0,0,0,0,64,2929,0,764,23,0.235575281666098,"WineExp","StorePurc",33.2173913043478,1,"Medium",8.02465753424658,0,"2",0.109108869689281,29.3848184818482
"Graduation","Single",49980,0,1,79,104,1,54,13,9,14,2,3,1,5,5,0,0,0,0,0,0,0,57,2626,0,195,11,0.125666412795126,"WineExp","StorePurc",17.7272727272727,1,"Medium",7.19452054794521,0,"1",0.0351329953622056,15.5849584958496
"Graduation","Married",15072,2,0,96,8,2,15,0,10,18,4,3,1,3,5,0,0,0,0,0,0,0,40,2792,0,53,11,0.118194842406877,"GoldExp","DealsPurc",4.81818181818182,1,"Low",7.64931506849315,0,"1",0.0194835958268847,11.0258625862586
"Graduation","Single",49166,0,1,17,224,2,25,7,0,110,2,5,3,3,6,0,0,0,0,0,0,0,46,2758,0,368,13,0.14140681653372,"WineExp","WebPurc",28.3076923076923,1,"Medium",7.55616438356164,0,"3",0.219253002586793,31.389598959896
"PhD","Together",30843,1,1,43,24,0,2,0,0,9,2,1,1,2,5,1,0,0,0,0,0,0,54,2411,1,35,6,0.0746578183326421,"WineExp","DealsPurc",5.83333333333333,1,"Low",6.60547945205479,0.2,"3",0.14046928812718,22.6509650965096
"Graduation","Single",60474,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,41,2831,0,1180,31,0.328505828329212,"MeatExp","StorePurc",38.0645161290323,1,"Medium",7.75616438356164,0,"2",0.357617119338884,45.3869386938694
"Master","Married",38576,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,47,2494,0,41,5,0.0601443464314354,"WineExp","StorePurc",8.2,1,"Low",6.83287671232877,0,"3",0.105140477413101,29.1934393439344
"Graduation","Married",55357,2,0,66,374,64,116,84,25,64,3,6,2,11,5,0,0,0,0,0,0,0,35,2872,0,727,22,0.229805013927577,"WineExp","StorePurc",33.0454545454545,1,"Medium",7.86849315068493,0,"2",0.0337791549460938,27.4250825082508
"Graduation","Together",37758,1,1,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0,0,54,3010,0,40,6,0.0598006644518272,"WineExp","StorePurc",6.66666666666667,1,"Low",8.24657534246575,0,"3",0.0294238767798948,21.1451145114511
"2n Cycle","Married",85710,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,31,2797,1,1062,26,0.278870218090812,"WineExp","StorePurc",40.8461538461538,0,"High",7.66301369863014,0.2,"2",0.305092056800531,44.553295329533
"Graduation","Together",23228,1,0,71,13,2,18,6,1,0,2,2,0,3,8,0,0,0,0,0,0,0,51,2531,0,40,7,0.0829711576451995,"MeatExp","StorePurc",5.71428571428571,1,"Low",6.93424657534247,0,"1",0.0259251378297894,17.1552155215522
"Master","Together",44602,1,1,35,167,2,89,0,0,34,6,6,1,4,8,0,0,0,0,0,0,0,51,2511,0,292,17,0.20310633213859,"WineExp","DealsPurc",17.1764705882353,1,"Medium",6.87945205479452,0,"3",0.0536670233328124,30.9694369436944
"Graduation","Married",17688,0,0,94,0,2,3,4,1,5,1,0,0,3,6,0,0,0,0,0,0,0,33,2913,0,15,4,0.0411946446961895,"GoldExp","StorePurc",3.75,0,"Low",7.98082191780822,0,"1",0.0171847606728242,8.94709470947095
"2n Cycle","Together",38683,1,0,80,46,35,69,84,41,66,6,4,1,6,7,0,0,0,0,0,0,0,31,3010,0,341,17,0.169435215946844,"FishExp","DealsPurc",20.0588235294118,1,"Low",8.24657534246575,0,"1",0.0216197620451125,21.2666466646665
"2n Cycle","Single",49514,1,0,61,88,39,78,58,13,93,2,6,1,4,7,0,0,0,0,0,0,0,45,2571,0,369,13,0.15169194865811,"GoldExp","WebPurc",28.3846153846154,1,"Medium",7.04383561643836,0,"1",0.0753393882401426,23.5086308630863
"PhD","Together",57906,0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,47,2760,0,401,17,0.184782608695652,"WineExp","StorePurc",23.5882352941176,1,"Medium",7.56164383561644,0,"3",0.0486980562984305,29.0449244924492
"Master","Single",43456,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,54,2837,0,393,17,0.179767359887205,"WineExp","StorePurc",23.1176470588235,1,"Medium",7.77260273972603,0,"3",0.362983333408833,35.8401440144014
"Master","Single",19485,2,0,80,6,0,4,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,34,2655,0,10,4,0.0451977401129944,"WineExp","StorePurc",2.5,1,"Low",7.27397260273973,0,"1",0.068625629727597,12.7357735773577
"Graduation","Together",53172,0,1,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0,0,0,0,0,42,2796,0,486,16,0.171673819742489,"GoldExp","StorePurc",30.375,1,"Medium",7.66027397260274,0,"1",0.0322220961293124,23.2131413141314
"Graduation","Together",30545,1,0,71,4,12,15,19,7,12,2,2,0,3,7,0,0,0,0,0,0,0,41,2997,0,69,7,0.0700700700700701,"FishExp","StorePurc",9.85714285714286,1,"Low",8.21095890410959,0,"1",0.0220615335307201,16.3849184918492
"PhD","Together",70123,0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0,37,2651,2,1727,17,0.19238023387401,"WineExp","CatalogPurc",101.588235294118,0,"High",7.26301369863014,0.4,"2",0.745742519650738,45.618601860186
"Graduation","Single",62450,0,1,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,0,61,2551,1,995,16,0.188161505292042,"WineExp","WebPurc",62.1875,1,"Medium",6.98904109589041,0.2,"2",0.307220787360662,29.1640164016402
"Graduation","Together",21675,1,0,55,4,0,16,17,4,4,3,4,0,3,7,0,0,0,0,0,0,0,44,2395,0,45,10,0.125260960334029,"FishExp","WebPurc",4.5,1,"Low",6.56164383561644,0,"1",0.0443564746641227,20.7907790779078
"2n Cycle","Single",42395,1,1,35,48,13,57,24,15,25,4,3,1,4,7,0,0,0,0,0,0,0,39,2463,0,182,12,0.146163215590743,"MeatExp","DealsPurc",15.1666666666667,1,"Medium",6.74794520547945,0,"3",0.143020435809372,26.8254225422542
"Master","Together",61346,1,0,34,562,58,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,0,42,2643,0,989,23,0.261066969353008,"WineExp","StorePurc",43,1,"Medium",7.24109589041096,0,"2",0.0854980020952627,34.4195219521952
"Graduation","Together",80812,0,0,95,769,22,500,210,143,33,1,4,8,5,2,1,0,1,1,0,0,0,67,2662,3,1677,18,0.202854996243426,"WineExp","CatalogPurc",93.1666666666667,0,"High",7.29315068493151,0.6,"2",0.496240757184728,34.2730673067307
"Master","Divorced",42835,1,1,64,379,4,93,12,9,98,7,6,6,4,6,0,0,0,0,0,0,0,49,2741,0,595,23,0.251732944180956,"WineExp","DealsPurc",25.8695652173913,1,"Medium",7.50958904109589,0,"2",0.111048499202282,28.2381238123812
"Graduation","Married",39922,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,37,2877,0,156,9,0.0938477580813347,"MeatExp","StorePurc",17.3333333333333,1,"Low",7.88219178082192,0,"3",0.0604155602610257,27.2659465946595
"Master","Single",86424,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,64,2462,0,1226,28,0.341186027619821,"MeatExp","StorePurc",43.7857142857143,0,"High",6.74520547945205,0,"2",0.250717964718487,41.0139213921392
"2n Cycle","Together",17117,1,0,96,12,23,38,30,18,7,4,3,1,3,9,0,0,0,0,0,0,0,42,2905,0,128,11,0.113597246127367,"MeatExp","DealsPurc",11.6363636363636,1,"Low",7.95890410958904,0,"1",0.0189854107695649,15.6199219921992
"Graduation","Married",35797,0,1,16,27,1,14,4,1,21,2,2,0,3,8,0,0,0,0,0,0,0,45,2998,0,68,7,0.0700466977985324,"WineExp","StorePurc",9.71428571428571,1,"Low",8.21369863013699,0,"3",0.0845822331215461,28.4881088108811
"Graduation","Divorced",36627,2,0,78,9,1,5,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,45,2718,0,16,4,0.0441501103752759,"WineExp","StorePurc",4,1,"Low",7.44657534246575,0,"1",0.0384869360062953,11.1873387338734
"2n Cycle","Married",51111,1,1,83,22,0,19,6,5,3,2,2,0,3,6,0,0,0,0,0,0,0,39,2387,0,55,7,0.0879765395894428,"WineExp","StorePurc",7.85714285714286,1,"Medium",6.53972602739726,0,"1",0.00862015337828667,12.8497849784979
"PhD","Together",82072,0,0,67,889,55,685,168,92,129,1,3,2,13,1,0,0,0,0,0,0,0,50,2739,0,2018,19,0.208105147864184,"WineExp","StorePurc",106.210526315789,0,"High",7.5041095890411,0,"2",0.0650545552264172,32.0851685168517
"PhD","Single",46231,2,1,87,189,2,55,0,5,12,4,6,1,4,9,0,0,0,0,0,0,0,67,2957,0,263,15,0.152181264795401,"WineExp","WebPurc",17.5333333333333,1,"Medium",8.1013698630137,0,"1",0.0349992728296488,20.3255925592559
"Graduation","Married",42243,1,1,34,48,0,2,0,0,5,2,2,0,3,7,0,0,0,0,0,0,0,61,2577,0,55,7,0.0814901047729918,"WineExp","StorePurc",7.85714285714286,1,"Medium",7.06027397260274,0,"3",0.040766431771305,23.7487748774878
"Graduation","Together",51195,1,1,46,230,14,156,82,24,58,8,9,2,5,8,0,0,0,0,0,0,0,58,2831,0,564,24,0.254327092900035,"WineExp","WebPurc",23.5,1,"Medium",7.75616438356164,0,"2",0.0483342601364713,34.0834883488349
"Master","Single",68092,0,0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,42,2572,0,1281,20,0.233281493001555,"WineExp","StorePurc",64.05,0,"High",7.04657534246575,0,"2",0.423452205380121,42.823302330233
"Graduation","Married",31814,1,0,73,35,3,20,4,1,20,2,2,0,3,9,1,0,0,0,0,0,0,47,2882,1,83,7,0.0728660652324774,"WineExp","StorePurc",11.8571428571429,1,"Low",7.8958904109589,0.2,"1",0.0735901017505315,21.425102510251
"Master","Widow",51390,1,1,54,205,20,47,23,2,56,6,5,2,5,5,0,0,0,0,0,0,0,55,3036,0,353,18,0.177865612648221,"WineExp","DealsPurc",19.6111111111111,1,"Medium",8.31780821917808,0,"1",0.0984769999457655,25.0687668766877
"Graduation","Married",76630,0,0,93,255,31,446,40,56,175,1,3,10,11,1,0,0,0,0,0,0,0,37,2543,0,1003,25,0.294927251278018,"MeatExp","StorePurc",40.12,0,"High",6.96712328767123,0,"2",0.0121053998278403,21.5203120312031
"Basic","Single",26868,1,0,52,0,0,1,8,3,2,1,1,0,2,7,0,0,0,0,0,0,0,29,2437,0,14,4,0.0492408699220353,"FishExp","StorePurc",3.5,1,"Low",6.67671232876712,0,"1",0.11499227809284,18.4240224022402
"PhD","Single",55260,0,1,81,825,8,53,11,0,242,2,8,10,5,6,0,0,0,0,0,0,0,48,2941,0,1139,25,0.255015300918055,"WineExp","CatalogPurc",45.56,1,"Medium",8.05753424657534,0,"2",0.106985175577692,30.0217821782178
"Graduation","Divorced",78331,0,1,97,756,138,354,160,169,61,2,10,6,7,4,0,0,0,0,0,0,0,62,2534,0,1638,25,0.295974743488556,"WineExp","WebPurc",65.52,1,"High",6.94246575342466,0,"2",0.0581678775660171,28.7419341934193
"PhD","Married",37087,1,0,50,194,55,134,15,0,3,3,4,2,8,6,0,0,0,0,0,0,0,46,2699,0,401,17,0.18895887365691,"WineExp","StorePurc",23.5882352941176,1,"Low",7.39452054794521,0,"1",0.0554287860064183,26.802500250025
"Graduation","Divorced",21846,1,0,38,7,17,18,6,10,26,4,4,0,3,8,0,0,0,0,0,0,0,34,2627,0,84,11,0.125618576322802,"GoldExp","DealsPurc",7.63636363636364,1,"Low",7.1972602739726,0,"3",0.19301681724684,25.9885788578858
"Graduation","Married",81320,0,0,61,183,33,493,59,103,57,1,4,3,10,2,0,0,0,0,0,0,0,62,2885,0,928,18,0.187175043327556,"MeatExp","StorePurc",51.5555555555556,0,"High",7.9041095890411,0,"2",0.019745417201331,25.2090809080908
"Graduation","Divorced",54137,0,1,46,171,0,11,0,1,20,2,4,1,4,6,0,0,0,0,0,0,0,50,2694,0,203,11,0.122494432071269,"WineExp","WebPurc",18.4545454545455,1,"Medium",7.38082191780822,0,"3",0.0703325218766443,23.3149914991499
"Graduation","Together",66825,0,0,73,243,101,405,29,40,40,1,4,5,6,2,0,0,0,0,0,0,0,53,2727,0,858,16,0.176017601760176,"MeatExp","StorePurc",53.625,0,"High",7.47123287671233,0,"2",0.0195587341147476,21.3212921292129
"Graduation","Together",57100,0,0,19,181,21,69,39,3,96,1,3,3,6,3,0,0,0,0,0,0,0,47,2584,0,409,13,0.150928792569659,"WineExp","StorePurc",31.4615384615385,0,"Medium",7.07945205479452,0,"3",0.0631524137490052,28.3103110311031
"Graduation","Together",58917,1,2,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,0,51,2839,0,282,16,0.16907361747094,"WineExp","StorePurc",17.625,1,"Medium",7.77808219178082,0,"3",0.0658211448613669,32.4861886188619
"Graduation","Single",85072,0,0,94,494,92,391,194,11,241,1,3,4,10,0,0,0,0,0,0,0,0,43,2458,0,1423,18,0.219690805532954,"WineExp","StorePurc",79.0555555555556,0,"High",6.73424657534247,0,"2",0.0421956894323792,20.4632063206321
"Graduation","Widow",45684,1,0,37,5,1,5,10,0,7,1,1,0,2,7,0,0,0,0,0,0,0,49,2586,0,28,4,0.0464037122969838,"FishExp","StorePurc",7,1,"Medium",7.08493150684932,0,"3",0.108215817924204,21.5652165216522
"Graduation","Together",47889,1,0,94,29,0,29,0,5,4,1,2,0,3,5,0,0,0,0,0,0,0,46,2553,0,67,6,0.0705052878965922,"WineExp","StorePurc",11.1666666666667,1,"Medium",6.99452054794521,0,"1",0.00656742126645067,9.26806680668067
"PhD","Married",45921,0,0,23,102,9,49,24,3,12,1,2,1,6,4,0,0,0,0,0,0,0,34,2488,0,199,10,0.120578778135048,"WineExp","StorePurc",19.9,0,"Medium",6.81643835616438,0,"3",0.0651039059269026,25.4752275227523
"PhD","Single",78420,0,0,75,604,28,674,91,28,28,1,3,10,8,1,0,0,0,0,0,0,0,54,2742,0,1453,22,0.240700218818381,"MeatExp","CatalogPurc",66.0454545454545,0,"High",7.51232876712329,0,"2",0.0885647839558167,27.357395739574
"Graduation","Together",75114,0,0,40,571,12,523,63,60,24,1,3,10,5,2,0,0,0,0,0,0,0,28,2611,0,1253,19,0.218307162006894,"WineExp","CatalogPurc",65.9473684210526,0,"High",7.15342465753425,0,"2",0.067340901902235,32.4803080308031
"Graduation","Married",62820,0,0,51,398,61,265,138,61,53,1,3,4,6,1,0,0,0,0,0,0,0,66,2791,0,976,14,0.150483697599427,"WineExp","StorePurc",69.7142857142857,0,"High",7.64657534246575,0,"2",0.0464324601658275,24.791299129913
"Master","Together",73113,0,0,86,741,19,154,50,9,28,1,3,4,7,2,0,0,0,0,0,0,0,60,2562,0,1001,15,0.175644028103044,"WineExp","StorePurc",66.7333333333333,0,"High",7.01917808219178,0,"1",0.0130877541589383,19.3731573157316
"2n Cycle","Single",42607,0,1,30,156,29,56,30,32,47,2,3,2,7,3,0,0,0,0,0,0,0,66,2601,0,350,14,0.161476355247982,"WineExp","StorePurc",25,1,"Medium",7.12602739726027,0,"3",0.182610558890195,26.0753075307531
"PhD","Single",74637,0,0,73,960,64,464,146,0,16,1,6,9,9,3,0,0,0,1,0,0,0,66,2784,1,1650,25,0.269396551724138,"WineExp","CatalogPurc",66,0,"High",7.62739726027397,0.2,"2",0.354613342854711,36.018801880188
