"Education","MaritalSts","Income","Kidhome","Teenhome","Recency","WineExp","FruitExp","MeatExp","FishExp","SweetExp","GoldExp","DealsPurc","WebPurc","CatalogPurc","StorePurc","WebVisits","AccCmp3","AccCmp4","AccCmp5","AccCmp1","AccCmp2","Complain","Response","Age","CustDays","TotAccCmp","TotalExp"
"2n Cycle","Single",45889,0,1,42,31,0,6,0,1,8,1,1,0,3,6,0,0,0,0,0,0,0,40,2739,0,46
"Graduation","Single",56628,0,1,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,0,43,2477,1,761
"Graduation","Together",34026,1,1,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,70,2705,0,76
"Graduation","Married",40049,0,1,61,91,65,52,10,44,28,3,3,2,6,5,0,0,0,0,0,0,0,46,2954,0,290
"Graduation","Married",19419,1,0,76,2,14,28,16,3,7,4,4,0,3,9,0,0,0,0,0,0,0,39,2973,0,70
"2n Cycle","Married",82504,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,60,2714,0,1066
"2n Cycle","Single",61618,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0,29,3015,0,1345
"Master","Single",55284,0,1,60,547,7,140,0,7,63,3,7,5,8,5,0,0,0,0,0,0,0,64,2929,0,764
"Graduation","Single",49980,0,1,79,104,1,54,13,9,14,2,3,1,5,5,0,0,0,0,0,0,0,57,2626,0,195
"Graduation","Married",15072,2,0,96,8,2,15,0,10,18,4,3,1,3,5,0,0,0,0,0,0,0,40,2792,0,53
"Graduation","Single",49166,0,1,17,224,2,25,7,0,110,2,5,3,3,6,0,0,0,0,0,0,0,46,2758,0,368
"PhD","Together",30843,1,1,43,24,0,2,0,0,9,2,1,1,2,5,1,0,0,0,0,0,0,54,2411,1,35
"Graduation","Single",60474,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,41,2831,0,1180
"Master","Married",38576,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,47,2494,0,41
"Graduation","Married",55357,2,0,66,374,64,116,84,25,64,3,6,2,11,5,0,0,0,0,0,0,0,35,2872,0,727
"Graduation","Together",37758,1,1,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0,0,54,3010,0,40
"2n Cycle","Married",85710,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,31,2797,1,1062
"Graduation","Together",23228,1,0,71,13,2,18,6,1,0,2,2,0,3,8,0,0,0,0,0,0,0,51,2531,0,40
"Master","Together",44602,1,1,35,167,2,89,0,0,34,6,6,1,4,8,0,0,0,0,0,0,0,51,2511,0,292
"Graduation","Married",17688,0,0,94,0,2,3,4,1,5,1,0,0,3,6,0,0,0,0,0,0,0,33,2913,0,15
"2n Cycle","Together",38683,1,0,80,46,35,69,84,41,66,6,4,1,6,7,0,0,0,0,0,0,0,31,3010,0,341
"2n Cycle","Single",49514,1,0,61,88,39,78,58,13,93,2,6,1,4,7,0,0,0,0,0,0,0,45,2571,0,369
"PhD","Together",57906,0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,47,2760,0,401
"Master","Single",43456,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,54,2837,0,393
"Master","Single",19485,2,0,80,6,0,4,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,34,2655,0,10
"Graduation","Together",53172,0,1,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0,0,0,0,0,42,2796,0,486
"Graduation","Together",30545,1,0,71,4,12,15,19,7,12,2,2,0,3,7,0,0,0,0,0,0,0,41,2997,0,69
"PhD","Together",70123,0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0,37,2651,2,1727
"Graduation","Single",62450,0,1,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,0,61,2551,1,995
"Graduation","Together",21675,1,0,55,4,0,16,17,4,4,3,4,0,3,7,0,0,0,0,0,0,0,44,2395,0,45
"2n Cycle","Single",42395,1,1,35,48,13,57,24,15,25,4,3,1,4,7,0,0,0,0,0,0,0,39,2463,0,182
"Master","Together",61346,1,0,34,562,58,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,0,42,2643,0,989
"Graduation","Together",80812,0,0,95,769,22,500,210,143,33,1,4,8,5,2,1,0,1,1,0,0,0,67,2662,3,1677
"Master","Divorced",42835,1,1,64,379,4,93,12,9,98,7,6,6,4,6,0,0,0,0,0,0,0,49,2741,0,595
"Graduation","Married",39922,1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,37,2877,0,156
"Master","Single",86424,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,64,2462,0,1226
"2n Cycle","Together",17117,1,0,96,12,23,38,30,18,7,4,3,1,3,9,0,0,0,0,0,0,0,42,2905,0,128
"Graduation","Married",35797,0,1,16,27,1,14,4,1,21,2,2,0,3,8,0,0,0,0,0,0,0,45,2998,0,68
"Graduation","Divorced",36627,2,0,78,9,1,5,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,45,2718,0,16
"2n Cycle","Married",51111,1,1,83,22,0,19,6,5,3,2,2,0,3,6,0,0,0,0,0,0,0,39,2387,0,55
"PhD","Together",82072,0,0,67,889,55,685,168,92,129,1,3,2,13,1,0,0,0,0,0,0,0,50,2739,0,2018
"PhD","Single",46231,2,1,87,189,2,55,0,5,12,4,6,1,4,9,0,0,0,0,0,0,0,67,2957,0,263
"Graduation","Married",42243,1,1,34,48,0,2,0,0,5,2,2,0,3,7,0,0,0,0,0,0,0,61,2577,0,55
"Graduation","Together",51195,1,1,46,230,14,156,82,24,58,8,9,2,5,8,0,0,0,0,0,0,0,58,2831,0,564
"Master","Single",68092,0,0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,42,2572,0,1281
"Graduation","Married",31814,1,0,73,35,3,20,4,1,20,2,2,0,3,9,1,0,0,0,0,0,0,47,2882,1,83
"Master","Widow",51390,1,1,54,205,20,47,23,2,56,6,5,2,5,5,0,0,0,0,0,0,0,55,3036,0,353
"Graduation","Married",76630,0,0,93,255,31,446,40,56,175,1,3,10,11,1,0,0,0,0,0,0,0,37,2543,0,1003
"Basic","Single",26868,1,0,52,0,0,1,8,3,2,1,1,0,2,7,0,0,0,0,0,0,0,29,2437,0,14
"PhD","Single",55260,0,1,81,825,8,53,11,0,242,2,8,10,5,6,0,0,0,0,0,0,0,48,2941,0,1139
"Graduation","Divorced",78331,0,1,97,756,138,354,160,169,61,2,10,6,7,4,0,0,0,0,0,0,0,62,2534,0,1638
"PhD","Married",37087,1,0,50,194,55,134,15,0,3,3,4,2,8,6,0,0,0,0,0,0,0,46,2699,0,401
"Graduation","Divorced",21846,1,0,38,7,17,18,6,10,26,4,4,0,3,8,0,0,0,0,0,0,0,34,2627,0,84
"Graduation","Married",81320,0,0,61,183,33,493,59,103,57,1,4,3,10,2,0,0,0,0,0,0,0,62,2885,0,928
"Graduation","Divorced",54137,0,1,46,171,0,11,0,1,20,2,4,1,4,6,0,0,0,0,0,0,0,50,2694,0,203
"Graduation","Together",66825,0,0,73,243,101,405,29,40,40,1,4,5,6,2,0,0,0,0,0,0,0,53,2727,0,858
"Graduation","Together",57100,0,0,19,181,21,69,39,3,96,1,3,3,6,3,0,0,0,0,0,0,0,47,2584,0,409
"Graduation","Together",58917,1,2,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,0,0,51,2839,0,282
"Graduation","Single",85072,0,0,94,494,92,391,194,11,241,1,3,4,10,0,0,0,0,0,0,0,0,43,2458,0,1423
"Graduation","Widow",45684,1,0,37,5,1,5,10,0,7,1,1,0,2,7,0,0,0,0,0,0,0,49,2586,0,28
"Graduation","Together",47889,1,0,94,29,0,29,0,5,4,1,2,0,3,5,0,0,0,0,0,0,0,46,2553,0,67
"PhD","Married",45921,0,0,23,102,9,49,24,3,12,1,2,1,6,4,0,0,0,0,0,0,0,34,2488,0,199
"PhD","Single",78420,0,0,75,604,28,674,91,28,28,1,3,10,8,1,0,0,0,0,0,0,0,54,2742,0,1453
"Graduation","Together",75114,0,0,40,571,12,523,63,60,24,1,3,10,5,2,0,0,0,0,0,0,0,28,2611,0,1253
"Graduation","Married",62820,0,0,51,398,61,265,138,61,53,1,3,4,6,1,0,0,0,0,0,0,0,66,2791,0,976
"Master","Together",73113,0,0,86,741,19,154,50,9,28,1,3,4,7,2,0,0,0,0,0,0,0,60,2562,0,1001
"2n Cycle","Single",42607,0,1,30,156,29,56,30,32,47,2,3,2,7,3,0,0,0,0,0,0,0,66,2601,0,350
"PhD","Single",74637,0,0,73,960,64,464,146,0,16,1,6,9,9,3,0,0,0,1,0,0,0,66,2784,1,1650
"PhD","Together",46015,1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,0,65,2454,2,46
"Graduation","Single",72354,0,0,67,315,26,473,220,12,182,1,2,10,6,1,0,0,0,0,0,0,0,27,2815,0,1228
"PhD","Married",34469,1,1,58,19,6,20,0,5,12,3,1,1,4,4,0,0,0,0,0,0,0,72,2433,0,62
"Graduation","Together",83033,1,0,82,812,99,431,237,149,33,1,11,4,10,5,0,0,0,1,0,0,0,34,2419,1,1761
"Master","Together",24401,0,0,98,73,28,217,10,24,115,3,6,1,6,8,0,0,0,0,0,0,0,41,3044,0,467
"Graduation","Married",77583,0,0,93,372,23,384,250,12,108,1,4,5,9,2,0,0,0,1,0,0,0,42,2516,1,1149
"2n Cycle","Single",74116,0,0,53,871,111,704,145,55,166,1,4,4,10,2,0,1,0,0,0,0,0,38,2558,1,2052
"PhD","Married",68397,0,1,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,44,2601,0,1416
"PhD","Together",79632,0,0,42,471,0,510,99,21,12,1,6,4,9,2,0,0,0,0,0,0,0,46,2459,0,1113
"Graduation","Single",46107,1,0,78,31,9,27,16,9,33,1,1,1,4,3,0,0,0,0,0,0,0,31,2516,0,125
"PhD","Single",64950,0,1,29,819,0,72,12,0,63,2,11,2,10,7,0,1,0,0,0,0,0,69,3063,1,966
"Basic","Married",25443,1,0,82,1,4,3,8,9,7,1,1,0,3,8,0,0,0,0,0,0,0,31,2931,0,32
"PhD","Together",32892,1,0,78,26,0,15,2,1,2,2,3,0,3,8,0,0,0,0,0,0,0,49,2412,0,46
"Graduation","Together",71796,0,0,54,354,21,311,167,75,32,1,9,3,4,4,0,0,0,0,0,0,0,49,2625,0,960
"PhD","Married",67536,0,1,45,1253,0,447,23,71,35,3,11,5,11,8,0,0,0,1,0,0,0,50,2780,1,1829
"Graduation","Single",55239,0,1,59,371,17,238,23,24,106,3,7,5,11,5,0,0,0,0,0,0,0,49,2727,0,779
"PhD","Divorced",60554,1,0,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,45,2701,0,811
"2n Cycle","Single",64831,1,1,51,480,86,249,75,86,144,8,6,3,5,6,0,0,0,0,0,0,0,68,2761,0,1120
"PhD","Together",56067,0,1,51,517,12,54,16,6,120,2,7,4,7,5,0,0,0,0,0,0,0,58,2721,0,725
"Basic","Single",14906,0,0,86,7,7,14,7,16,15,3,2,1,3,7,0,0,0,0,0,0,0,34,2931,0,66
"PhD","Married",51563,0,0,60,1166,0,48,0,0,36,1,4,4,10,8,0,1,1,0,0,0,0,33,3013,2,1250
"2n Cycle","Married",57937,0,1,56,261,42,144,55,48,133,3,4,4,9,3,0,0,0,0,0,0,0,38,2510,0,683
"Graduation","Divorced",68274,1,1,83,135,25,51,23,25,46,2,4,2,5,3,0,0,0,0,0,0,0,41,2649,0,305
"Graduation","Together",39771,1,0,92,6,2,18,2,8,14,1,2,0,3,4,0,0,0,0,0,0,0,43,2582,0,50
"2n Cycle","Divorced",67893,0,1,31,711,28,142,49,18,47,2,3,2,9,8,0,0,0,0,0,0,0,45,3013,0,995
"PhD","Together",27922,1,0,80,11,0,13,2,4,11,1,2,0,3,4,0,0,0,0,0,0,0,41,2427,0,41
"PhD","Together",52190,1,1,39,42,0,17,0,0,18,3,2,1,3,5,1,0,0,0,0,0,0,44,2429,1,77
"PhD","Single",42767,2,0,53,20,6,43,19,5,38,1,3,1,2,8,0,0,0,0,0,0,0,49,2791,0,131
"Master","Together",46106,1,1,84,30,0,8,2,0,14,1,1,1,2,6,0,0,0,0,0,0,0,44,2426,0,54
"PhD","Married",16927,1,1,50,20,2,23,3,1,4,5,3,0,4,8,0,0,0,0,0,0,0,44,2881,0,53
"Graduation","Single",53700,0,1,94,263,5,233,69,41,83,4,5,5,8,5,0,0,0,0,0,0,0,68,3058,0,694
"Graduation","Married",59041,1,1,25,69,2,15,2,2,6,2,2,0,4,5,0,0,0,0,0,0,0,47,2430,0,96
"PhD","Divorced",54237,0,1,48,267,3,30,4,0,57,4,5,2,5,6,0,0,0,0,0,0,0,63,2805,0,361
"Graduation","Divorced",70647,0,1,65,561,85,171,25,123,114,2,4,7,13,2,0,0,0,0,0,0,0,53,3023,0,1079
"PhD","Single",52597,0,1,69,492,0,37,7,0,42,3,6,3,8,5,0,0,0,0,0,0,0,58,2430,0,578
"PhD","Married",40233,0,1,84,80,4,46,0,17,2,5,2,1,5,6,0,0,0,0,0,0,0,45,2635,0,149
"Graduation","Married",50183,1,1,47,97,12,84,13,10,15,7,3,1,6,5,0,0,0,0,0,0,0,40,2381,0,231
"Graduation","Together",54753,0,1,87,197,107,227,7,59,131,3,5,2,11,4,0,0,0,0,0,0,0,61,2667,0,728
"Graduation","Married",33471,1,0,47,43,2,27,0,9,12,3,3,0,4,7,0,0,0,0,0,0,0,47,3002,0,93
"Graduation","Together",44010,1,0,46,186,36,234,86,72,48,6,10,2,6,9,0,0,0,0,0,0,0,40,3001,0,662
"Graduation","Married",84219,0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,32,2524,0,1198
"PhD","Together",40706,2,1,37,59,0,11,4,2,5,4,3,0,4,7,0,0,0,0,0,0,0,52,2905,0,81
"2n Cycle","Married",15716,1,0,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,1,0,32,2971,0,92
"2n Cycle","Divorced",59052,0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,61,2601,0,491
"Master","Together",80573,0,0,85,829,138,430,60,92,15,1,4,6,13,2,0,0,0,0,0,0,0,49,3000,0,1564
"Graduation","Married",83715,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,58,2523,0,926
"Master","Together",82576,0,0,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,0,0,61,3074,1,1910
"Graduation","Married",35704,1,1,54,30,9,12,2,11,30,3,2,0,4,4,0,0,0,0,0,0,0,68,2554,0,94
"Graduation","Together",53103,0,1,70,729,17,133,11,0,195,5,10,6,7,7,1,0,0,0,0,0,0,66,2667,1,1085
"2n Cycle","Widow",46779,1,1,55,12,1,3,0,0,7,1,0,1,2,4,0,0,0,0,0,0,0,60,2729,0,23
"Graduation","Divorced",32583,0,0,20,2,1,1,1,0,1,0,0,0,0,14,0,0,0,0,0,0,0,55,2384,0,6
"Master","Divorced",33462,1,0,78,22,3,18,0,0,11,1,2,0,3,7,0,0,0,0,0,0,0,41,2703,0,54
"PhD","Married",65352,0,1,43,284,3,84,4,7,23,2,4,2,8,4,0,0,0,0,0,0,0,46,2689,0,405
"PhD","Married",82170,0,0,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0,42,2593,0,1908
"2n Cycle","Single",79689,0,0,65,311,26,640,180,37,121,1,4,9,13,2,0,0,0,0,0,0,0,44,2790,0,1315
"PhD","Widow",35340,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,64,2377,0,45
"2n Cycle","Married",24884,1,0,32,3,6,7,0,0,3,1,0,0,3,7,0,0,0,0,0,0,0,48,2954,0,19
"Master","Together",42021,1,0,34,393,5,136,7,5,27,5,10,1,6,9,1,0,0,0,0,0,0,39,3044,1,573
"Graduation","Single",64449,1,0,70,218,63,282,137,35,70,4,5,3,12,4,0,0,0,0,0,0,0,31,2508,0,805
"Graduation","Divorced",64587,1,1,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,0,66,2384,0,108
"Graduation","Together",75437,0,0,25,795,0,545,95,58,0,1,8,4,10,6,0,0,0,1,0,0,0,42,2609,1,1493
"Graduation","Married",52845,1,0,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,47,2697,1,936
"Graduation","Divorced",46086,0,1,34,244,8,32,7,2,50,4,3,1,8,4,0,0,0,0,0,0,0,64,2615,0,343
"Graduation","Together",22434,1,0,25,4,12,11,3,13,15,2,2,0,3,8,0,0,0,0,0,0,0,33,2878,0,58
"PhD","Married",36930,0,1,50,223,2,31,0,2,39,5,5,2,4,8,0,0,0,0,0,0,0,66,2785,0,297
"Master","Married",65569,0,1,96,397,46,288,20,38,70,2,6,5,10,3,0,0,0,0,0,0,0,67,2978,0,859
"PhD","Single",36736,1,1,52,10,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,57,2792,0,17
"Graduation","Together",77568,0,1,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,0,41,3050,3,2194
"PhD","Together",49187,0,1,63,81,1,31,2,1,0,1,1,1,5,2,0,0,0,0,0,0,0,44,2546,0,116
"Graduation","Single",30168,1,0,51,154,20,66,0,12,27,7,6,1,4,9,0,0,0,0,0,0,0,42,2856,0,279
"Master","Together",34053,0,1,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,0,52,3034,0,103
"Master","Married",38196,1,1,20,30,0,11,0,0,3,3,2,0,4,5,0,0,0,0,0,0,0,49,2449,0,44
"Master","Married",59412,0,0,56,90,67,165,30,43,11,1,4,2,8,3,0,0,0,0,0,0,0,69,2448,0,406
"2n Cycle","Married",70924,0,0,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,0,55,2460,1,1363
"Graduation","Together",54165,0,0,72,127,4,73,15,6,11,1,2,1,7,2,0,0,0,0,0,0,0,51,2774,0,236
"Graduation","Married",32300,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,47,2919,0,39
"Graduation","Single",20180,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,44,2871,0,137
"Graduation","Married",34961,1,0,77,45,2,26,4,1,1,3,3,1,3,7,0,0,0,0,0,0,0,47,2387,0,79
"PhD","Together",28440,1,0,87,38,1,24,0,0,0,1,2,0,3,8,0,0,0,0,0,0,0,46,2734,0,63
"Master","Together",33564,0,1,51,61,0,3,0,0,7,1,1,1,3,5,0,0,0,0,0,0,0,54,2382,0,71
"Graduation","Married",17345,1,0,79,4,9,16,17,0,12,2,2,1,2,8,0,0,0,0,0,0,0,42,2980,0,58
"PhD","Married",56320,0,1,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,0,53,2824,0,702
"Basic","Single",15038,1,0,93,4,8,11,19,12,26,2,2,1,2,9,0,0,0,0,0,0,0,33,2893,0,80
"PhD","Divorced",32173,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,62,2709,0,22
"2n Cycle","Together",68316,0,1,54,806,80,161,120,11,33,5,10,7,10,6,0,0,0,0,0,0,0,56,2979,0,1211
"Graduation","Together",68695,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,51,2381,0,1091
"2n Cycle","Married",31056,1,0,99,5,10,13,3,8,16,1,1,0,3,8,0,0,0,0,0,0,0,43,2900,0,55
"Graduation","Single",28071,0,0,65,39,33,130,41,26,44,2,5,1,5,8,0,0,0,0,0,0,0,40,3046,0,313
"PhD","Together",37334,1,1,44,26,1,16,2,2,15,4,3,0,4,4,0,0,0,0,0,0,0,62,2500,0,62
"Master","Single",46423,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,48,2661,0,92
"Graduation","Married",47703,0,1,95,359,0,134,13,26,123,4,6,3,8,5,0,0,0,0,0,0,0,67,2773,0,655
"Graduation","Married",61180,0,1,70,403,24,29,6,24,218,2,5,5,6,3,1,0,0,0,0,0,0,61,2444,1,704
"Graduation","Married",38998,1,1,92,34,1,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,0,66,2980,0,54
"Graduation","Single",29760,0,0,62,73,18,66,7,12,2,15,0,1,0,19,0,0,0,0,0,0,0,29,3026,0,178
"Graduation","Together",76081,0,0,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,0,58,2414,1,1033
"Master","Single",33168,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,55,3001,0,122
"Master","Married",33585,0,1,91,30,11,33,13,6,29,1,2,0,4,4,0,0,0,0,0,0,0,54,2654,0,122
"PhD","Married",77037,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,60,2636,0,1123
"Graduation","Married",44529,0,1,98,538,13,91,17,6,26,6,6,2,11,5,0,1,0,0,0,0,0,54,2736,1,691
"PhD","Together",28764,1,1,16,8,0,3,0,0,1,1,1,0,2,8,1,0,0,0,0,0,0,54,2401,1,12
"PhD","Married",69098,0,0,82,1315,22,780,145,0,178,1,7,8,9,5,0,0,0,0,0,0,0,71,2875,0,2440
"Master","Married",27100,1,0,64,12,0,13,2,0,10,1,1,0,3,7,0,0,0,0,0,0,0,37,2827,0,37
"Graduation","Single",70596,0,0,68,347,44,534,17,0,26,1,3,5,12,2,0,0,0,0,0,0,0,35,3009,0,968
"Graduation","Married",42557,0,1,98,192,5,53,0,5,15,4,6,1,4,8,0,0,0,0,0,0,0,46,3046,0,270
"PhD","Married",53312,0,0,32,241,0,12,0,0,25,1,5,1,5,7,0,0,0,0,0,0,0,69,2701,0,278
"Graduation","Single",72228,0,0,87,631,28,491,30,14,56,1,6,7,8,3,0,0,0,0,0,0,0,68,2956,0,1250
"Graduation","Together",67605,0,0,84,336,28,282,184,54,54,1,2,8,6,1,0,0,0,0,0,0,0,33,2832,0,938
"Graduation","Together",65196,0,2,34,743,19,181,12,0,200,2,7,6,11,5,1,0,0,0,0,0,0,62,2716,1,1155
"PhD","Married",65526,0,1,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0,56,2456,0,506
"Graduation","Married",16860,1,1,19,10,4,4,3,3,14,3,1,1,3,7,0,0,0,0,0,0,0,59,3032,0,38
"2n Cycle","Divorced",64176,0,1,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,0,55,3072,0,1826
"Graduation","Divorced",22304,0,0,91,3,2,7,0,4,2,1,1,0,2,8,0,0,0,0,0,0,0,64,3071,0,18
"Graduation","Married",67023,0,0,93,444,44,382,11,8,17,1,3,7,13,2,0,0,0,0,0,1,0,42,2494,0,906
"Graduation","Together",70713,0,1,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,0,54,2950,0,1477
"Graduation","Together",59925,0,1,83,473,21,176,19,21,56,3,9,2,9,6,0,0,0,0,0,0,0,65,2953,0,766
"Graduation","Married",39722,0,1,92,32,0,5,2,0,8,2,2,0,3,5,0,0,0,0,0,0,0,67,2502,0,47
"Graduation","Together",46610,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,62,2723,0,467
"Graduation","Together",88347,0,0,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,59,2738,1,2116
"PhD","Married",87171,0,0,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,39,2801,2,1298
"2n Cycle","Together",26907,1,1,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0,44,2690,0,22
"Master","Single",50014,1,0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,52,2535,0,396
"PhD","Married",41014,1,0,65,7,2,6,2,0,3,1,1,0,2,7,0,0,0,0,0,0,0,42,2810,0,20
"Graduation","Single",66294,0,0,68,251,108,334,65,92,117,1,4,3,5,2,0,0,0,0,0,0,0,55,2481,0,967
"Graduation","Together",40479,1,0,95,5,0,8,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,38,2693,0,15
"Graduation","Married",54233,0,1,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,0,43,2887,0,981
"Graduation","Single",24163,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,50,2637,0,17
"Graduation","Together",43776,1,0,77,8,0,9,2,1,3,1,1,0,2,6,0,0,0,0,0,0,0,37,2434,0,23
"PhD","Married",85844,0,0,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,0,47,2408,1,1958
"PhD","Single",39190,1,0,91,68,8,18,19,8,12,2,2,1,4,5,0,0,0,0,0,0,0,46,2441,0,133
"PhD","Married",57236,1,1,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,0,55,2486,0,121
"Graduation","Single",61825,0,1,56,162,50,100,55,30,27,1,4,2,8,4,0,0,0,0,0,0,0,41,2703,0,424
"Graduation","Divorced",79803,0,1,54,574,8,216,21,16,33,1,4,3,5,1,0,0,0,0,0,0,0,62,2404,0,868
"2n Cycle","Single",80910,0,0,71,160,80,369,67,39,41,1,3,3,8,1,0,0,0,0,0,0,0,34,2983,0,756
"Master","Together",27590,1,0,38,6,0,5,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,38,2809,0,12
"Graduation","Married",56775,0,1,62,614,35,160,58,35,35,2,5,8,10,5,0,0,0,0,0,0,0,41,2920,0,937
"2n Cycle","Married",54210,0,1,18,70,54,109,80,9,45,2,4,1,7,5,0,0,0,0,0,0,0,41,2782,0,367
"Graduation","Married",38508,1,0,95,120,19,206,25,19,54,6,7,2,5,8,0,0,0,0,0,0,0,34,2708,0,443
"Graduation","Together",53187,1,0,66,211,2,30,7,7,10,2,4,1,6,5,0,0,0,0,0,0,0,50,2623,0,267
"Graduation","Married",30023,1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,48,2474,0,61
"PhD","Single",76045,0,0,78,760,53,400,17,93,0,1,4,5,11,2,0,0,0,1,0,0,0,60,2603,1,1323
"PhD","Married",50870,0,1,13,53,0,8,0,0,2,1,2,0,3,5,0,0,0,0,0,0,0,68,2387,0,63
"2n Cycle","Married",65463,1,0,17,391,32,70,21,32,16,2,6,2,9,5,0,1,0,0,0,0,0,46,2527,1,562
"Graduation","Married",66480,1,1,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0,0,0,0,0,55,2406,0,312
"Graduation","Divorced",76773,0,0,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,0,66,2866,0,1156
"PhD","Single",54466,1,1,78,12,0,4,0,0,0,1,1,0,2,5,0,0,0,0,0,0,0,47,2517,0,16
"PhD","Single",16269,1,0,75,19,3,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0,0,36,2680,0,44
"Graduation","Together",71819,0,1,70,1224,28,140,0,14,168,3,3,3,5,6,0,1,1,0,0,0,0,49,2682,2,1574
"Basic","Together",22634,0,0,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0,54,2906,0,96
"2n Cycle","Married",47025,0,1,98,508,11,59,23,5,29,5,11,1,6,9,0,0,0,0,0,0,0,42,2667,0,635
"Graduation","Single",70566,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,52,2643,0,757
